"URL | Name"|"# of 
locations"|States
"http://supermarketpage.com/supermarkets/Daybreak-Foods-22193.htm | Daybreak Foods"|6|IA, MN, WA, WI|
"http://supermarketpage.com/supermarkets/Dean-Foods-22162.htm | Dean Foods"|29|IL, IN, KY, MA, MI, MN, OH, SD, VA, WI|
"http://supermarketpage.com/supermarkets/Delberts-Supermarket-11200.htm | Delberts Supermarket"|3|OK|
"http://supermarketpage.com/supermarkets/Demoulas-Supermarket-11588.htm | Demoulas Supermarket"|9|MA, NH|
"http://supermarketpage.com/supermarkets/Diamond-Crystal-Specialty-Foods-9736.htm | Diamond Crystal Specialty Foods"|3|IA|
"http://supermarketpage.com/supermarkets/Diamond-Supermarket-22545.htm | Diamond Supermarket"|8|NY, TX|
"http://supermarketpage.com/supermarkets/Dicks-Supermarket-11815.htm | Dicks Supermarket"|4|IA, WI|
"http://supermarketpage.com/supermarkets/Dillon-Stores-7662.htm | Dillon Stores"|60|KS, MO|
"http://supermarketpage.com/supermarkets/Dominicks-Finer-Foods-19605.htm | Dominick's Finer Foods"|68|CA, IL|
"http://supermarketpage.com/supermarkets/Donelans-Supermarket-23517.htm | Donelans Supermarket"|7|MA|
"http://supermarketpage.com/supermarkets/Dot-Foods-11163.htm | Dot Foods"|11|CA, ID, IL, IN, MO, NY, OK|
"http://supermarketpage.com/supermarkets/Dover-Super-Market-11893.htm | Dover Super Market"|3|AR, NJ|
"http://supermarketpage.com/supermarkets/Down-Home-Foods-7713.htm | Down Home Foods"|4|MN, OH|
"http://supermarketpage.com/supermarkets/Down-to-Earth-Natural-Foods-17550.htm | Down to Earth Natural Foods"|14|HI, MA, NY, OH, TX, UT|
"http://supermarketpage.com/supermarkets/Draegers-Supermarket-13356.htm | Draegers Supermarket"|4|CA|
"http://supermarketpage.com/supermarkets/Dubois-Super-Foods-4502.htm | Dubois Super Foods"|2|WY|
"http://supermarketpage.com/supermarkets/E-W-James-Sons-Supermarket-15842.htm | E W James & Sons Supermarket"|11|KY, TN|
"http://supermarketpage.com/supermarkets/Eagle-Supermarket-Corp.-12314.htm | Eagle Supermarket Corp."|2|OH|
"http://supermarketpage.com/supermarkets/Earthlight-Natural-Foods-12188.htm | Earthlight Natural Foods"|5|PA|
"http://supermarketpage.com/supermarkets/Eastern-Foods-2908.htm | Eastern Foods"|14|CA, CO, FL, GA, MN, MO, NC, NJ, OH, TN, TX, WA|
"http://supermarketpage.com/supermarkets/Eats-Natural-Foods-10347.htm | Eats Natural Foods"|6|VA|
"http://supermarketpage.com/supermarkets/Econo-Foods-22200.htm | Econo Foods"|22|IA, IL, MA, MN, ND, SD, WI|
"http://supermarketpage.com/supermarkets/El-Ahorro-14583.htm | El Ahorro"|6|FL, TX|
"http://supermarketpage.com/supermarkets/Everyday-23584.htm | Everyday"|4||
"http://supermarketpage.com/supermarkets/Excel-Supermarket-2677.htm | Excel Supermarket"|2|AL|
"http://supermarketpage.com/supermarkets/Extra-Supermarket-19419.htm | Extra Supermarket"|13|FL, NJ, NY|
"http://supermarketpage.com/supermarkets/Freal-Foods-22234.htm | F'real Foods"|2|CA|
"http://supermarketpage.com/supermarkets/Fairplay-Finer-Foods-17097.htm | Fairplay Finer Foods"|6|IL|
"http://supermarketpage.com/supermarkets/Fairway-Finer-Foods-14504.htm | Fairway Finer Foods"|1||
"http://supermarketpage.com/supermarkets/Fairway-Finer-Foods-Inc.-3954.htm | Fairway Finer Foods Inc."|1||
"http://supermarketpage.com/supermarkets/Fairway-Food-Market-9802.htm | Fairway Food Market"|1|NY|
"http://supermarketpage.com/supermarkets/Fairway-Foods-4748.htm | Fairway Foods"|5|GA, IL, MI|
"http://supermarketpage.com/supermarkets/Fairway-Foods-Inc.-22738.htm | Fairway Foods Inc."|1|CA|
"http://supermarketpage.com/supermarkets/Fairway-Wholesale-9839.htm | Fairway Wholesale"|6|NY|
"http://supermarketpage.com/supermarkets/Family-Fare-12554.htm | Family Fare"|21|MI|
"http://supermarketpage.com/supermarkets/Family-Foods-17465.htm | Family Foods"|44|AL, CA, CO, DC, FL, IA, IL, IN, KY, MA, MI, MN, NC, ND, NJ, NY, OH, SC, TX, UT|
"http://supermarketpage.com/supermarkets/Family-Fresh-Foods-14751.htm | Family Fresh Foods"|3|WI|
"http://supermarketpage.com/supermarkets/Fareway-Stores-Inc-6422.htm | Fareway Stores Inc"|9|IA, NE|
"http://supermarketpage.com/supermarkets/Farmers-Foods-17859.htm | Farmers Foods"|8|NC, VA|
"http://supermarketpage.com/supermarkets/Farmland-Foods-7548.htm | Farmland Foods"|19|AZ, IA, IL, MA, MN, MO, NE, OH, TX, WI|
"http://supermarketpage.com/supermarkets/Fas-Check-Supermarket-4240.htm | Fas Check Supermarket"|10|WV|
"http://supermarketpage.com/supermarkets/Fast-Lane-Foods-16567.htm | Fast Lane Foods"|6|GA, IN|
"http://supermarketpage.com/supermarkets/Fast-Track-Foods-5865.htm | Fast Track Foods"|16|FL, GA, NC|
"http://supermarketpage.com/supermarkets/Fastee-Foods-8232.htm | Fastee Foods"|3|GA|
"http://supermarketpage.com/supermarkets/Fastop-Foods-Inc-20896.htm | Fastop Foods Inc"|3|CA, TX|
"http://supermarketpage.com/supermarkets/Fastpak-Foods-5251.htm | Fastpak Foods"|4|LA|
"http://supermarketpage.com/supermarkets/Fastrip-Food-Store-22733.htm | Fastrip Food Store"|3|CA|
"http://supermarketpage.com/supermarkets/Festival-Foods-22227.htm | Festival Foods"|21|FL, MI, MN, MO, PA, WI|
"http://supermarketpage.com/supermarkets/Fiesta-Foods-9351.htm | Fiesta Foods"|15|CA, FL, IA, NE, SD, WA|
"http://supermarketpage.com/supermarkets/Fine-Fair-Supermarket-2028.htm | Fine Fair Supermarket"|36|NJ, NY, PA|
"http://supermarketpage.com/supermarkets/Flash-Foods-23564.htm | Flash Foods"|133|FL, GA|
"http://supermarketpage.com/supermarkets/Fleck-Foods-Inc-7390.htm | Fleck Foods Inc"|2|PA|
"http://supermarketpage.com/supermarkets/Floyds-Supermarket-18979.htm | Floyds Supermarket"|3|AL, KS, KY|
"http://supermarketpage.com/supermarkets/Food-4-Less-10460.htm | Food 4 Less"|175|AL, CA, FL, IL, IN, MI, MO, NE, NJ, NV, OH, OR|
"http://supermarketpage.com/supermarkets/Food-Bag-19398.htm | Food Bag"|3|CT, NY|
"http://supermarketpage.com/supermarkets/Food-Basket-5487.htm | Food Basket"|5|NH, NY, TX|
"http://supermarketpage.com/supermarkets/Food-City-17631.htm | Food City"|32|AZ, FL, KY, MA, ME, NC, NY, OH, TN, VA, VT|
"http://supermarketpage.com/supermarkets/Food-Emporium-7939.htm | Food Emporium"|32|CT, MI, NJ, NY, WA|
"http://supermarketpage.com/supermarkets/Food-Express-21120.htm | Food Express"|2|CA, NJ|
"http://supermarketpage.com/supermarkets/Food-Fair-13885.htm | Food Fair"|5|IN, KS, KY, MO, VA|
"http://supermarketpage.com/supermarkets/Food-Giant-3263.htm | Food Giant"|10|AL, AR, CA, FL, KY, MO|
"http://supermarketpage.com/supermarkets/Food-Lion-4237.htm | Food Lion"|1238|DE, FL, GA, KY, MA, MD, NC, PA, SC, TN, TX, VA, WV|
"http://supermarketpage.com/supermarkets/Food-Roundup-Supermarket-6721.htm | Food Roundup Supermarket"|3|MT|
"http://supermarketpage.com/supermarkets/Food-World-17589.htm | Food World"|10|AL, KY, NY, TX, UT|
"http://supermarketpage.com/supermarkets/Foodarama-Supermarkets-15978.htm | Foodarama Supermarkets"|4|MD, NJ|
"http://supermarketpage.com/supermarkets/Foodland-4231.htm | Foodland"|13|AL, HI, IL, KY, MA, NY, PA, TX, WV|
"http://supermarketpage.com/supermarkets/Foodmart-20055.htm | Foodmart"|1|CT|
"http://supermarketpage.com/supermarkets/Foodmaster-Supermarket-17252.htm | Foodmaster Supermarket"|13|MA|
"http://supermarketpage.com/supermarkets/Foodmax-5721.htm | Foodmax"|9|AL, CA, GA, KY, MS, NC|
"http://supermarketpage.com/supermarkets/Foodsco-21818.htm | Foodsco"|19|CA|
"http://supermarketpage.com/supermarkets/Foodtown-7546.htm | Foodtown"|114|AZ, CA, FL, IL, KY, LA, MI, NE, NJ, NM, NV, NY, OH, TN, TX, WI|
"http://supermarketpage.com/supermarkets/Foodway-Supermarket-10264.htm | Foodway Supermarket"|2|TX, VA|
"http://supermarketpage.com/supermarkets/Francescos-Fabulous-Foods-LLC-1093.htm | Francescos Fabulous Foods LLC"|2|CT|
"http://supermarketpage.com/supermarkets/Franjo-Supermarket-4484.htm | Franjo Supermarket"|2|FL|
"http://supermarketpage.com/supermarkets/Franks-Mkt.-18024.htm | Frank's Mkt."|3|CA|
"http://supermarketpage.com/supermarkets/Fred-Meyer-17657.htm | Fred Meyer"|102|AK, ID, KY, MN, OR, PA, WA|
"http://supermarketpage.com/supermarkets/Freedom-Foods-22206.htm | Freedom Foods"|5|MA, OH, WI|
"http://supermarketpage.com/supermarkets/Freeland-Foods-13362.htm | Freeland Foods"|3|CA|
"http://supermarketpage.com/supermarkets/Fresh-and-Easy-Neighborhood-22767.htm | Fresh and Easy Neighborhood"|6||
"http://supermarketpage.com/supermarkets/Fresh-And-Natural-Foods-16460.htm | Fresh And Natural Foods"|2|MN|
"http://supermarketpage.com/supermarkets/Fresh-Pride-Supermarkets-17951.htm | Fresh Pride Supermarkets"|14|MD, VA|
"http://supermarketpage.com/supermarkets/Friendly-Foods-3163.htm | Friendly Foods"|17|FL, GA, IL, IN, LA, MD, ME, NY, OK, TX, WA, WI|
"http://supermarketpage.com/supermarkets/Frontera-Foods-4703.htm | Frontera Foods"|3|CO, IL|
"http://supermarketpage.com/supermarkets/Frys-Food-Stores-8500.htm | Frys Food Stores"|75|AZ, VT|
